referenced_url,handler_type,handler_file,source_file
/services/digital-growth-strategy,exact,app/services/digital-growth-strategy/page.tsx,app/services/digital-growth-strategy/page.tsx
/services/digital-growth-strategy,exact,app/services/digital-growth-strategy/page.tsx,public/sitemap.xml
/services/digital-marketing,exact,app/services/digital-marketing/page.tsx,app/services/digital-marketing/page.tsx
/services/digital-marketing,exact,app/services/digital-marketing/page.tsx,app/services/online-marketing/[industry]/page.tsx
/services/digital-marketing,exact,app/services/digital-marketing/page.tsx,app/services/online-marketing/page.tsx
/services/digital-marketing,exact,app/services/digital-marketing/page.tsx,public/sitemap.xml
/services/digital-marketing/accountants,exact,app/services/digital-marketing/accountants/page.tsx,app/services/digital-marketing/accountants/page.tsx
/services/digital-marketing/accountants,exact,app/services/digital-marketing/accountants/page.tsx,public/sitemap.xml
/services/digital-marketing/bricklayers,exact,app/services/digital-marketing/bricklayers/page.tsx,app/services/digital-marketing/bricklayers/page.tsx
/services/digital-marketing/bricklayers,exact,app/services/digital-marketing/bricklayers/page.tsx,public/sitemap.xml
/services/digital-marketing/builders,exact,app/services/digital-marketing/builders/page.tsx,app/services/digital-marketing/builders/page.tsx
/services/digital-marketing/builders,exact,app/services/digital-marketing/builders/page.tsx,public/sitemap.xml
/services/digital-marketing/buyers-agents,exact,app/services/digital-marketing/buyers-agents/page.tsx,app/blog/buyers-agents-google-ads-strategy/page.tsx
/services/digital-marketing/buyers-agents,exact,app/services/digital-marketing/buyers-agents/page.tsx,app/services/digital-marketing/buyers-agents/page.tsx
/services/digital-marketing/buyers-agents,exact,app/services/digital-marketing/buyers-agents/page.tsx,public/sitemap.xml
/services/digital-marketing/electricians,exact,app/services/digital-marketing/electricians/page.tsx,app/services/digital-marketing/electricians/page.tsx
/services/digital-marketing/electricians,exact,app/services/digital-marketing/electricians/page.tsx,public/sitemap.xml
/services/digital-marketing/finance-brokers,exact,app/services/digital-marketing/finance-brokers/page.tsx,app/blog/financial-planner-lead-generation/page.tsx
/services/digital-marketing/finance-brokers,exact,app/services/digital-marketing/finance-brokers/page.tsx,app/blog/financial-planner-seo/page.tsx
/services/digital-marketing/finance-brokers,exact,app/services/digital-marketing/finance-brokers/page.tsx,app/services/digital-marketing/finance-brokers/page.tsx
/services/digital-marketing/finance-brokers,exact,app/services/digital-marketing/finance-brokers/page.tsx,public/sitemap.xml
